Beverage_category,Beverage,Beverage_prep,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg),Sale Price,Profit,Country
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,120,1.5,0.5,0.0,5,35,24,0,24,2.0,4%,0%,8%,0%,125,403,139,Canada
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,110,1,0.1,0.0,0,30,23,0,22,2.0,2%,0%,8%,0%,125,303,91,Germany
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti Nonfat Milk,160,0.1,0.1,0.0,0,50,36,0,36,4.0,6%,0%,10%,4%,125,317,93,USA
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,180,2,1.0,0.1,10,55,36,0,36,4.0,6%,0%,10%,0%,170,394,91,Australia
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,170,1.5,0.2,0.0,0,45,34,0,33,3.0,4%,0%,10%,0%,170,411,121,UK
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Tall,60,0,0.0,0.0,0,0,15,0,15,0.0,0%,0%,0%,6%,170,230,54,Australia
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Grande,80,0,0.0,0.0,0,0,21,0,21,0.0,0%,0%,0%,0%,Varies,310,86,UAE
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Venti,120,0,0.0,0.0,0,0,31,0,31,0.0,0%,0%,0%,0%,Varies,296,83,France
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Tall,100,0,0.0,0.0,0,0,25,0,24,0.1,0%,10%,0%,0%,Varies,250,58,Japan
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Grande,130,0,0.0,0.0,0,0,33,0,33,0.1,0%,15%,0%,0%,Varies,319,105,USA
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Venti,190,0,0.0,0.0,0,0,49,0,49,0.1,0%,20%,0%,0%,Varies,325,112,USA
Smoothies,Banana Chocolate Smoothie,Grande Nonfat Milk,280,2.5,1.5,0.0,5,150,53,7,34,20.0,10%,15%,20%,0%,Varies,273,67,India
Smoothies,Banana Chocolate Smoothie,2% Milk,300,5,2.5,0.1,15,160,53,7,34,20.0,8%,15%,20%,20%,15,308,94,Japan
Smoothies,Banana Chocolate Smoothie,Soymilk,290,4.5,1.5,0.0,5,150,51,7,31,19.0,6%,15%,20%,20%,15,351,94,UK
Smoothies,Orange Mango Banana Smoothie,Grande Nonfat Milk,260,1,0.3,0.0,5,120,54,6,37,16.0,50%,80%,10%,30%,15,460,144,UAE
Smoothies,Orange Mango Banana Smoothie,2% Milk,270,1.5,0.5,0.0,5,125,53,6,37,16.0,50%,80%,10%,6%,0,333,112,India
Smoothies,Orange Mango Banana Smoothie,Soymilk,270,1.5,0.4,0.0,5,120,53,6,36,15.0,50%,80%,10%,6%,0,276,90,Japan
Smoothies,Strawberry Banana Smoothie,Grande Nonfat Milk,290,1,0.3,0.0,5,125,58,7,41,16.0,4%,100%,10%,8%,0,355,100,UK
Smoothies,Strawberry Banana Smoothie,2% Milk,290,2,1.0,0.0,5,125,58,7,41,16.0,4%,100%,10%,8%,0,322,91,France
Smoothies,Strawberry Banana Smoothie,Soymilk,290,2,0.4,0.0,5,120,58,8,40,16.0,2%,100%,10%,8%,0,416,102,Germany
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,160,0.1,0.0,0.0,0,160,36,0,36,3.0,4%,0%,10%,10%,0,521,177,India
Frappuccino® Blended Coffee,Coffee,Whole Milk,180,2.5,1.5,0.1,10,160,36,0,36,3.0,4%,0%,8%,0%,70,600,147,Germany
Frappuccino® Blended Coffee,Coffee,Soymilk,160,1.5,0.2,0.0,0,150,35,0,34,2.0,4%,0%,10%,0%,70,458,141,UAE
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,220,0.1,0.1,0.0,0,210,51,0,50,4.0,6%,0%,10%,4%,70,452,157,Canada
Frappuccino® Blended Coffee,Coffee,Whole Milk,240,3,2.0,0.1,10,220,50,0,50,3.0,4%,0%,10%,0%,95,631,189,UK
Frappuccino® Blended Coffee,Coffee,Soymilk,220,1.5,0.2,0.0,0,210,49,0,47,3.0,4%,0%,10%,0%,95,614,145,UK
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,310,0.1,0.1,0.0,5,300,70,0,69,6.0,10%,0%,20%,6%,95,518,147,Canada
Frappuccino® Blended Coffee,Coffee,Whole Milk,350,5,3.0,0.2,15,300,70,0,69,5.0,8%,0%,15%,2%,130,585,180,UAE
Frappuccino® Blended Coffee,Coffee,Soymilk,310,2.5,0.3,0.0,0,300,68,1,66,5.0,6%,0%,20%,2%,130,483,132,France
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4%,0%,10%,8%,130,416,118,France
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,200,3,2.0,0.1,10,160,42,1,40,3.0,4%,0%,8%,6%,70,478,117,UK
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,180,2,0.5,0.0,0,150,40,1,38,3.0,4%,0%,10%,10%,70,438,104,Canada
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,260,1,0.5,0.0,0,220,61,1,58,4.0,6%,0%,10%,8%,110,453,111,UAE
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,290,4,2.5,0.1,10,220,61,1,58,4.0,4%,0%,10%,8%,110,340,106,Australia
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,260,2.5,0.5,0.0,0,220,59,1,55,4.0,4%,0%,10%,15%,110,316,75,UAE
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,340,1,0.5,0.0,5,300,80,1,76,7.0,10%,0%,15%,10%,140,461,153,India
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,390,6,3.5,0.1,15,300,80,1,76,6.0,8%,0%,15%,10%,140,394,136,Canada
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,350,3,1.0,0.0,0,290,78,2,73,6.0,6%,0%,20%,20%,140,427,134,India
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4%,0%,10%,0%,70,471,123,UAE
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,200,2.5,1.5,0.1,10,160,42,0,41,3.0,4%,0%,8%,0%,70,492,155,Canada
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,180,1.5,0.2,0.0,0,150,40,0,39,2.0,4%,0%,10%,4%,70,643,187,UK
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6%,0%,10%,0%,100,536,139,UK
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,280,3.5,2.0,0.1,10,220,60,0,59,3.0,4%,0%,10%,0%,100,653,180,Canada
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,260,1.5,0.2,0.0,0,220,58,0,56,3.0,4%,0%,10%,6%,100,559,187,India
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10%,0%,15%,2%,130,649,185,UK
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,370,5,3.0,0.1,15,300,78,0,77,5.0,8%,0%,15%,2%,130,518,152,India
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,340,2.5,0.3,0.0,0,290,75,1,73,5.0,6%,0%,20%,8%,130,620,189,UAE
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220,3,2.0,0.0,0,170,47,1,44,4.0,4%,0%,10%,20%,75,584,188,France
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,240,5,3.5,0.1,10,170,47,1,44,4.0,4%,0%,8%,20%,75,543,155,UK
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,220,4,2.5,0.0,0,170,45,1,42,3.0,4%,0%,10%,20%,75,644,192,Canada
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310,4,3.0,0.0,0,250,67,2,62,5.0,6%,0%,10%,25%,110,482,116,Japan
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,340,7,5.0,0.1,10,250,67,2,62,5.0,4%,0%,10%,25%,110,618,157,France
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,310,6,3.5,0.0,0,240,65,2,60,4.0,4%,0%,10%,30%,110,542,136,Germany
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420,5,4.0,0.0,5,340,90,2,84,7.0,10%,0%,20%,35%,145,533,152,France
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460,10,7.0,0.2,15,340,90,2,84,7.0,6%,0%,15%,35%,145,567,196,India
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430,8,4.5,0.0,0,330,88,3,80,6.0,6%,0%,20%,40%,145,625,192,Germany
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,4%,0%,10%,0%,70,622,168,Australia
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,6%,0%,10%,0%,95,652,206,USA
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8%,0%,15%,2%,120,564,184,Australia
Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4%,0%,8%,6%,70,379,102,UK
Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150,1,0.5,0.0,0,200,33,1,30,4.0,6%,0%,10%,8%,95,377,127,Germany
Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210,1,0.5,0.0,5,280,46,1,42,6.0,8%,0%,15%,10%,130,438,104,Germany
Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4%,0%,8%,0%,65,496,115,Germany
Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6%,0%,10%,0%,90,640,174,USA
Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8%,0%,15%,2%,120,507,175,France
Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150,3,2.0,0.0,0,170,30,1,27,4.0,4%,0%,10%,20%,70,469,136,UK
Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220,4,3.0,0.0,0,240,43,2,39,5.0,6%,0%,10%,25%,105,472,142,UAE
Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290,5,4.0,0.0,5,320,58,2,52,7.0,8%,0%,15%,35%,165,501,166,USA
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6%,6%,10%,2%,0,451,132,Australia
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,190,3,1.5,0.1,10,140,38,0,37,3.0,4%,6%,10%,2%,0,532,174,France
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,4%,6%,10%,6%,0,573,149,Australia
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8%,6%,15%,4%,0,625,183,USA
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,260,4,2.0,0.1,10,190,53,0,52,4.0,6%,6%,15%,4%,0,623,153,USA
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,240,2,0.2,0.0,0,180,51,1,49,3.0,4%,6%,15%,8%,0,498,117,Germany
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10%,8%,20%,4%,0,481,113,Australia
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,350,6,3.0,0.2,15,260,70,0,68,6.0,8%,8%,20%,4%,0,629,150,USA
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,320,3 2,0.4,0.0,0,250,67,1,64,5.0,6%,8%,20%,10%,0,523,160,France
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6%,0%,10%,0%,0,549,179,Canada
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,6%,0%,10%,0%,0,470,113,USA
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,4%,0%,10%,6%,0,489,118,Japan
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8%,0%,15%,0%,0,481,164,UAE
